	CGRS	Probability
x930	-0.662970509	0.964
x931	-0.689186488	0.965
x932	-0.716024756	0.966
x933	-0.743518968	0.967
x934	-0.771704539	0.968
x935	-0.800636087	0.969
x936	-0.830347503	0.97
x937	-0.860888991	0.971
x938	-0.892319869	0.972
x939	-0.92470435	0.973
x940	-0.958102044	0.974
x941	-0.992592089	0.975
x942	-1.028259431	0.976
x943	-1.06519523	0.977
x944	-1.103510968	0.978
x945	-1.143328292	0.979
x946	-1.184785842	0.98
x947	-1.228038058	0.981
x948	-1.273269041	0.982
x949	-1.320698509	0.983
x950	-1.370569738	0.984
x951	-1.42319671	0.985
x952	-1.478937325	0.986
x953	-1.53821283	0.987
x954	-1.601572663	0.988
x955	-1.669689266	0.989
x956	-1.743412972	0.99
x957	-1.823897312	0.991
x958	-10000000	1
