	CGRS	Probability
x551	3.547099522	0.698001
x552	3.541217784	0.699001
x553	3.535329206	0.700001
x554	3.529431008	0.701001
x555	3.523522352	0.702001
x556	3.51760662	0.703001
x557	3.511681911	0.704001
x558	3.505745589	0.705001
x559	3.499801946	0.706001
x560	3.493850179	0.707001
x561	3.487885422	0.708001
x562	3.481913091	0.709001
x563	3.475933124	0.710001
x564	3.469939735	0.711001
x565	3.463937918	0.712001
x566	3.4579282	0.713001
x567	3.451906363	0.714001
x568	3.445874241	0.715001
x569	3.439833944	0.716001
x570	3.43378309	0.717001
x571	3.427719824	0.718001
x572	3.421648099	0.719001
x573	3.415567652	0.720001
x574	3.40947238	0.721001
x575	3.403368354	0.722001
x576	3.397255497	0.723001
x577	3.391129569	0.724001
x578	3.384992347	0.725001
x579	3.378845987	0.726001
x580	3.372688997	0.727001
x581	3.366517661	0.728001
x582	3.360336868	0.729001
x583	3.354146533	0.730001
x584	3.347941823	0.731001
x585	3.341725644	0.732001
x586	3.335499588	0.733001
x587	3.329262301	0.734001
x588	3.323009757	0.735001
x589	3.316746992	0.736001
x590	3.310473909	0.737001
x591	3.304186591	0.738001
x592	3.2978861	0.739001
x593	3.291574931	0.740001
x594	3.285252981	0.741001
x595	3.278914209	0.742001
x596	3.272563899	0.743001
x597	3.26620243	0.744001
x598	3.259828552	0.745001
x599	3.253438016	0.746001
x600	3.247035932	0.747001
x601	3.240622185	0.748001
x602	3.23419442	0.749001
x603	3.227750596	0.750001
x604	3.221294702	0.751001
x605	3.214826614	0.752001
x606	3.208343461	0.753001
x607	3.201844253	0.754001
x608	3.195332424	0.755001
x609	3.188807845	0.756001
x610	3.182267774	0.757001
x611	3.175710991	0.758001
x612	3.169141014	0.759001
x613	3.162557701	0.760001
x614	3.155959148	0.761001
x615	3.149342511	0.762001
x616	3.142712075	0.763001
x617	3.13606769	0.764001
x618	3.129409061	0.765001
x619	3.122730191	0.766001
x620	3.116036888	0.767001
x621	3.109328995	0.768001
x622	3.102606351	0.769001
x623	3.095865078	0.770001
x624	3.089106399	0.771001
x625	3.082332455	0.772001
x626	3.075543079	0.773001
x627	3.068737872	0.774001
x628	3.061911201	0.775001
x629	3.055068559	0.776001
x630	3.048209769	0.777001
x631	3.041334649	0.778001
x632	3.034441525	0.779001
x633	3.027527425	0.780001
x634	3.020596426	0.781001
x635	3.013648338	0.782001
x636	3.006682965	0.783001
x637	2.999698788	0.784001
x638	2.992692669	0.785001
x639	2.985668663	0.786001
x640	2.978626567	0.787001
x641	2.97156617	0.788001
x642	2.964487262	0.789001
x643	2.957384715	0.790001
x644	2.950262784	0.791001
x645	2.943121697	0.792001
x646	2.93596123	0.793001
x647	2.928781157	0.794001
x648	2.921580153	0.795001
x649	2.914355093	0.796001
x650	2.907109745	0.797001
x651	2.899843871	0.798001
x652	2.892557227	0.799001
x653	2.885249568	0.800001
x654	2.877920618	0.801001
x655	2.870565437	0.802001
x656	2.863188511	0.803001
x657	2.855789579	0.804001
x658	2.84836838	0.805001
x659	2.840924645	0.806001
x660	2.833458103	0.807001
x661	2.825968189	0.808001
x662	2.818450925	0.809001
x663	2.810910063	0.810001
x664	2.803345317	0.811001
x665	2.795756397	0.812001
x666	2.788143009	0.813001
x667	2.780504856	0.814001
x668	2.772841634	0.815001
x669	2.765153036	0.816001
x670	2.757435259	0.817001
x671	2.749691384	0.818001
x672	2.741921251	0.819001
x673	2.734124539	0.820001
x674	2.72630092	0.821001
x675	2.718450061	0.822001
x676	2.710571624	0.823001
x677	2.702665268	0.824001
x678	2.694730645	0.825001
x679	2.686767402	0.826001
x680	2.678774045	0.827001
x681	2.670749885	0.828001
x682	2.662696115	0.829001
x683	2.654612362	0.830001
x684	2.646498252	0.831001
x685	2.638353403	0.832001
x686	2.630177429	0.833001
x687	2.621969938	0.834001
x688	2.613730532	0.835001
x689	2.605458808	0.836001
x690	2.597154355	0.837001
x691	2.588816759	0.838001
x692	2.580445598	0.839001
x693	2.572040446	0.840001
x694	2.563600868	0.841001
x695	2.555126425	0.842001
x696	2.546616672	0.843001
x697	2.538071155	0.844001
x698	2.529489415	0.845001
x699	2.520870988	0.846001
x700	2.512215402	0.847001
x701	2.503522177	0.848001
x702	2.494790827	0.849001
x703	2.486020861	0.850001
x704	2.477211778	0.851001
x705	2.468363071	0.852001
x706	2.459474227	0.853001
x707	2.450544725	0.854001
x708	2.441574035	0.855001
x709	2.432561621	0.856001
x710	2.423506939	0.857001
x711	2.414409438	0.858001
x712	2.405268558	0.859001
x713	2.396083732	0.860001
x714	2.386854383	0.861001
x715	2.377579929	0.862001
x716	2.368259777	0.863001
x717	2.358893327	0.864001
x718	2.349479969	0.865001
x719	2.340017603	0.866001
x720	2.330504611	0.867001
x721	2.320942571	0.868001
x722	2.311330835	0.869001
x723	2.301668742	0.870001
x724	2.291955624	0.871001
x725	2.282190803	0.872001
x726	2.272373591	0.873001
x727	2.262503292	0.874001
x728	2.252574079	0.875001
x729	2.242589051	0.876001
x730	2.232548465	0.877001
x731	2.222451577	0.878001
x732	2.212297632	0.879001
x733	2.202085863	0.880001
x734	2.191809897	0.881001
x735	2.181471793	0.882001
x736	2.17107314	0.883001
x737	2.160613122	0.884001
x738	2.15009091	0.885001
x739	2.139498481	0.886001
x740	2.128839174	0.887001
x741	2.118114711	0.888001
x742	2.107324206	0.889001
x743	2.096461089	0.890001
x744	2.08552401	0.891001
x745	2.074517719	0.892001
x746	2.06344127	0.893001
x747	2.052283593	0.894001
x748	2.041050373	0.895001
x749	2.029743597	0.896001
x750	2.018356037	0.897001
x751	2.006884098	0.898001
x752	1.995335019	0.899001
x753	1.983701587	0.900001
x754	1.971978453	0.901001
x755	1.960174398	0.902001
x756	1.94827801	0.903001
x757	1.936290482	0.904001
x758	1.924218042	0.905001
x759	1.912040457	0.906001
x760	1.899774567	0.907001
x761	1.887408043	0.908001
x762	1.874941295	0.909001
x763	1.862376187	0.910001
x764	1.849700852	0.911001
x765	1.836927028	0.912001
x766	1.824035043	0.913001
x767	1.811041853	0.914001
x768	1.797924808	0.915001
x769	1.784701069	0.916001
x770	1.77135019	0.917001
x771	1.757884155	0.918001
x772	1.74429029	0.919001
x773	1.730569622	0.920001
x774	1.716723225	0.921001
x775	1.702734974	0.922001
x776	1.68861754	0.923001
x777	1.674356653	0.924001
x778	1.659950157	0.925001
x779	1.645402169	0.926001
x780	1.630699749	0.927001
x781	1.615839447	0.928001
x782	1.60082425	0.929001
x783	1.585649156	0.930001
x784	1.570298611	0.931001
x785	1.554776456	0.932001
x786	1.539079354	0.933001
x787	1.523201658	0.934001
x788	1.507137532	0.935001
x789	1.49087924	0.936001
x790	1.474418244	0.937001
x791	1.457753402	0.938001
x792	1.440878134	0.939001
x793	1.423785648	0.940001
x794	1.406468927	0.941001
x795	1.388920726	0.942001
x796	1.371133562	0.943001
x797	1.353099709	0.944001
x798	1.334811189	0.945001
x799	1.316253333	0.946001
x800	1.2974203	0.947001
x801	1.278305032	0.948001
x802	1.258898369	0.949001
x803	1.239190851	0.950001
x804	1.219154088	0.951001
x805	1.198793996	0.952001
x806	1.178097576	0.953001
x807	1.157032828	0.954001
x808	1.135609504	0.955001
x809	1.113787232	0.956001
x810	1.091574588	0.957001
x811	1.06892667	0.958001
x812	1.045845462	0.959001
x813	1.022308628	0.960001
x814	0.99827705	0.961001
x815	0.973741456	0.962001
x816	0.948675127	0.963001
x817	0.923049215	0.964001
x818	0.89683336	0.965001
x819	0.869995607	0.966001
x820	0.84250233	0.967001
x821	0.814318145	0.968001
x822	0.785382939	0.969001
x823	0.7556739	0.970001
x824	0.72512973	0.971001
x825	0.69370239	0.972001
x826	0.66131641	0.973001
x827	0.627917865	0.974001
x828	0.593427688	0.975001
x829	0.55776101	0.976001
x830	0.520826754	0.977001
x831	0.482507555	0.978001
x832	0.442693794	0.979001
x833	0.40123493	0.980001
x834	0.357982649	0.981001
x835	0.31275302	0.982001
x836	0.265320234	0.983001
x837	0.215448491	0.984001
x838	0.162820846	0.985001
x839	0.107083	0.986001
x840	0.047806413	0.987001
x841	-0.015551369	0.988001
x842	-0.083668935	0.989001
x843	-0.157394968	0.990001
x844	-0.237878488	0.991001
x845	-0.326608567	0.992001
x846	-0.425677294	0.993001
x847	-0.538144983	0.994001
x848	-0.668654967	0.995001
x849	-0.82489521	0.996001
x850	-1.021045189	0.997001
x851	-1.2882352	0.998001
x852	-1.722830753	0.999001
x853	-10000000	1
