	APOD	CCDC92	CYS1	GSDME	ST8SIA5	STARD3NL	TMEM245	TSPYL5	VAT1
TCGA.CD.A4MJ	2.744078894	3.29169689	2.872406176	2.77335962	0.384799971	2.94030155	3.534265734	2.841119164	3.694146783
TCGA.CG.4301	3.496629899	3.342157603	2.774049949	3.139450911	1.048272213	3.464246805	3.661904784	3.20724505	3.629952244
TCGA.CG.4304	3.213846813	3.421673897	2.648598324	3.118513092	0	3.401128608	3.549097589	2.992715639	3.63051261
TCGA.CG.4305	3.697619433	3.387948594	2.49623392	2.8154002	0.911108348	3.194748483	3.567021445	3.074507588	3.666420748
TCGA.CG.4306	3.311763481	3.267893698	2.433655533	2.603689738	1.285146449	3.235078314	3.597175598	2.990890161	3.542604561
TCGA.CG.4436	3.537750594	3.308354307	1.67236018	2.435681559	0	3.46074946	3.627528437	2.620344932	3.644712987
TCGA.CG.4437	3.362444209	3.453254351	2.933744211	2.944110509	0	3.338998588	3.501813773	2.968778161	3.6592002
TCGA.CG.4438	3.565462053	3.318390492	2.581391732	3.061852334	0	3.315086002	3.569730342	3.353318443	3.710905056
TCGA.CG.4440	3.209030266	3.283637217	1.57450947	3.119739052	0.843998965	3.382138888	3.568207697	2.699388751	3.693370386
TCGA.CG.4441	3.170311901	3.38907844	3.495510982	3.041263614	1.015411735	3.176708404	3.579415605	2.944929135	3.630674016
TCGA.CG.4443	2.906509567	3.182373426	1.617177137	2.806343293	1.522036609	3.280505799	3.666699173	2.771778246	3.797451064
TCGA.CG.4444	3.274997203	3.409888344	2.556172901	3.336907835	1.274732129	3.26062972	3.652485033	2.998054181	3.557104799
TCGA.CG.4449	3.450112864	3.409393903	2.714111684	3.34973947	1.323829955	3.332577975	3.570917442	3.38096726	3.632810078
TCGA.CG.4460	3.342571567	3.357037923	2.647148975	3.442833837	1.874289905	3.397553132	3.670350161	3.641388331	3.717520409
TCGA.CG.4462	3.812010766	3.408325227	2.705677251	3.0500818	1.551300929	3.354327468	3.619460294	3.170782981	3.69303729
TCGA.CG.4465	3.053635845	3.291301337	2.559795929	3.045882909	1.166799325	3.369350682	3.558637564	2.899140524	3.540495564
TCGA.CG.4466	3.56976484	3.390219726	2.611191085	2.639724708	1.224003545	3.402975246	3.600256133	2.625829572	3.620073293
TCGA.CG.4469	2.671195457	3.426815557	0.574272313	2.738365345	0.574272313	3.399105081	3.523807079	2.69844362	3.446837143
TCGA.CG.4472	3.746625861	3.40771093	2.958873073	2.961707418	0	3.388457189	3.724844857	3.058281999	3.676571587
TCGA.CG.4475	3.606015126	3.320439699	2.9982825	3.095851704	1.91129102	3.41486173	3.657851358	3.278328614	3.668308009
TCGA.CG.4477	3.333329875	3.478322618	2.391710217	2.997932752	0.608872239	3.39645365	3.57808036	3.470464096	3.548382214
TCGA.CG.5717	3.451535515	3.402445745	2.647570528	2.788569186	0.97941306	3.149054583	3.550090506	2.900513413	3.777155068
TCGA.CG.5718	3.584371127	3.405375413	2.361635534	2.745368637	1.595679243	3.247066681	3.490974579	3.22119099	3.642467586
TCGA.CG.5719	3.826280907	3.469301807	3.315598474	3.11722435	1.561600628	3.323166268	3.582369529	3.140703069	3.756620652
TCGA.CG.5720	3.69608055	3.395389672	2.610025762	2.750076581	0.583377553	3.301630524	3.489828962	2.856347604	3.565900076
TCGA.CG.5721	3.216638394	3.334408105	2.568627704	3.056621084	0.598457639	3.093429681	3.516355932	2.838718625	3.67690103
