Symbol	APOD	CCDC92	CYS1	GSDME	ST8SIA5	STARD3NL	TMEM245	TSPYL5	VAT1
GSM2235698	7.847656403	11.161975	6.033129989	9.175213206	6.233555099	7.612093997	9.42766904	9.162476796	9.248992002
GSM2235699	10.96143528	10.98098245	6.041770256	10.46797662	6.406806876	9.154646417	9.832034836	7.745575873	8.132813032
GSM2235700	10.03224491	10.65532307	5.783513654	8.957167106	5.967890502	7.84501006	10.14341804	8.229981767	8.866884149
GSM2235701	7.211506588	10.12164665	5.857645561	9.07796515	6.848284839	8.250704001	9.769982938	9.596957263	9.275468471
GSM2235702	12.24271095	10.7371779	5.801683885	9.611313252	5.954790386	8.473394064	10.12539119	8.09994852	9.421614355
GSM2235703	10.66158041	10.89620365	6.08395558	9.20802772	5.960139959	8.439446487	10.30297265	8.333968563	8.821054188
GSM2235704	12.68202555	10.65650586	6.042042097	9.207682364	6.108984804	9.081800165	10.7995527	7.655256189	9.229706771
GSM2235705	12.73962584	9.565478881	6.005579846	9.524436491	6.008424347	9.420491535	10.39719673	7.045688668	9.1170166
GSM2235706	11.20508808	9.861755486	5.688665954	9.840070538	6.057538123	9.033691086	10.26182883	9.163484999	9.135604691
GSM2235707	5.810804084	9.86343465	5.807550574	8.081519014	6.21167162	8.842500997	9.861362263	6.806641146	8.530940085
GSM2235708	7.152542434	10.5829494	5.830405161	9.68573754	6.138181994	7.886958877	9.892326557	7.131119837	8.418131994
GSM2235709	8.062270326	10.70025579	5.744101666	9.997796983	5.735457999	7.810510219	9.359501802	6.475513488	8.733040035
GSM2235710	8.046403331	10.69076347	5.842574694	8.686289673	6.273843658	8.554566382	9.622194499	9.851848365	9.327501584
GSM2235711	6.591048831	10.49156608	5.944979365	7.902536836	5.77304198	7.670770175	9.719988544	6.49661659	8.685621779
GSM2235712	6.74690679	9.83328106	5.778165753	8.156989598	6.060012862	7.473385309	8.985818297	5.830610075	10.51006571
GSM2235713	10.79162804	11.20735066	6.162720867	9.605853473	6.200649619	8.030979228	11.15277928	8.378255902	8.298374408
GSM2235714	7.449636182	10.63467099	5.88079689	6.510377274	6.201041105	8.372944726	8.921686387	6.496526879	8.432805645
GSM2235715	7.159649101	10.5999568	5.933497319	8.864956141	6.081518171	8.88757986	9.767859095	7.225163612	7.77789518
GSM2235716	9.071503614	11.49885339	5.95030122	9.422385198	6.079615387	8.081239906	9.908560893	6.680394604	8.846708406
GSM2235717	12.35012175	11.07089184	5.910647298	8.417230764	5.804745725	8.247940796	10.67533253	8.188937422	9.035740755
GSM2235718	9.119393136	10.21660661	5.836637155	8.292265971	5.980473633	7.72603022	9.527614304	7.235597009	8.42831245
GSM2235719	8.950171642	10.49484367	5.928499111	8.440036639	6.009612221	8.400744659	9.333680302	6.912196312	9.851848365
GSM2235720	11.4512793	10.88421662	5.769366318	10.33452163	6.49227645	9.015791316	8.671802714	9.300518424	10.05949087
GSM2235721	8.33134703	10.23700116	6.009592468	7.423078302	5.953421488	8.349664912	9.647127405	7.280345122	9.434480667
GSM2235722	8.184741187	10.18242933	5.875856511	8.932879661	6.291967565	8.301487555	10.05044542	7.372047132	8.76652193
GSM2235723	9.163484999	10.5061776	5.666080623	8.582552407	6.633909666	8.981499666	9.42007797	6.547826176	9.106990419
GSM2235724	11.76787961	10.42763909	5.790243134	9.026265236	5.947735592	8.548843966	9.624480331	7.770278464	9.033033118
GSM2235725	8.548569204	9.351407403	5.939675184	9.50514179	6.214825699	7.937625122	9.310711891	7.374549236	8.63873823
GSM2235726	11.35179595	10.08854021	5.720778177	8.224584188	6.008529283	8.519675323	9.72940587	7.802848778	9.026265236
GSM2235727	9.996420955	10.26665853	5.809910567	7.408366252	5.860366681	7.87243533	9.429148658	7.106444533	8.921380605
GSM2235728	9.555241284	10.14050557	5.956370114	8.463490968	6.143571187	7.991247254	9.770798896	7.713172201	9.454883798
GSM2235729	12.09838998	10.53728682	5.967107884	9.180391191	6.145290643	8.805326494	10.04261452	8.271881776	8.838002821
GSM2235730	11.26368558	9.98719391	5.936066256	8.851329171	6.012547021	9.002158424	9.593434889	6.285493715	9.73913536
GSM2235731	5.561058132	9.722885119	5.777286116	6.873722686	5.934875504	7.630622745	9.43977054	5.936291318	8.413967925
GSM2235732	9.181055739	10.53784301	5.999027569	8.897170547	5.979797695	8.832503271	9.17972299	7.151124257	9.092897344
GSM2235733	7.355141981	10.60329188	5.984618776	9.300518424	6.10217986	7.94582571	9.399217041	7.804153049	8.167812092
GSM2235734	11.81705943	10.36819847	5.965188642	9.059548916	6.214935737	8.842796806	8.74363218	8.688242793	7.913800086
GSM2235735	9.734606411	10.58239492	5.884932571	8.614024867	5.911436282	8.626468374	9.820748468	8.237644277	8.590689126
GSM2235736	9.3466071	9.788169682	5.864277653	10.30399654	5.886355473	9.029324569	9.546847664	6.307835885	8.296349099
GSM2235737	9.434480667	9.967236375	5.779054863	8.40514937	6.238216169	8.634435856	9.46463849	6.987336142	8.08567588
GSM2235738	5.914747903	9.152644423	5.944069563	7.632896596	6.121266376	7.577978878	9.887458099	6.68756966	8.269577756
GSM2235739	6.411765748	9.834505345	5.855746494	7.063741063	5.785996643	8.333400368	9.453365588	6.540654982	7.547378248
GSM2235740	8.125547858	9.807726026	6.056545228	6.684106882	5.893625784	7.841252101	8.951827254	6.709543722	7.310743554
GSM2235741	10.54069823	11.10413082	6.19817295	11.12572234	5.860453755	8.741975552	9.125921509	7.411373328	8.416937981
GSM2235742	7.68202039	10.41531668	5.919778068	10.66802083	5.95122856	8.242544007	9.045630163	8.823287398	9.3466071
GSM2235743	8.087610641	10.41960696	5.906889781	8.959493685	5.95215463	8.223143036	8.853176851	6.894842719	8.818522078
GSM2235744	7.596831533	10.51499229	5.824424897	7.212139923	5.674994577	8.091813629	9.551809108	8.010060771	8.071103384
GSM2235745	9.806544745	10.44710054	6.052498509	9.227568983	5.845434678	8.094893347	11.55727954	8.398005737	8.923323653
GSM2235746	9.482567598	9.98494643	5.812137061	7.458677955	6.04269493	8.236562301	9.979191587	8.650839994	8.155830323
GSM2235747	9.339396829	9.088891405	5.909054776	9.738699726	6.148921644	8.049437458	9.779892666	7.454341595	8.723449416
GSM2235748	12.0772231	10.70880737	5.634696782	9.431466097	5.789263874	8.289362712	10.69076347	9.486370229	9.276184695
GSM2235749	10.88360584	9.638011136	5.976540471	5.874767448	6.562205046	6.752464976	9.412945596	5.699038673	9.674233851
GSM2235750	14.11056649	10.18335804	5.828939184	9.841298463	5.99259702	8.5632282	9.951628229	7.693957121	8.833144166
GSM2235751	6.893358744	10.34272348	6.152360257	8.024405065	5.742218068	8.686592237	9.898614023	6.867038013	9.911539448
GSM2235752	8.034905333	9.501833372	5.958121747	6.561993402	5.933728499	8.378831093	9.484504249	8.317938407	6.744734718
GSM2235753	12.27929402	10.60617082	5.920986041	8.760821764	6.044216174	8.482630532	10.14671618	10.24574127	8.104616503
GSM2235754	8.079831578	10.46311862	5.886538626	11.15963953	5.869337098	8.613104599	9.577670756	8.104345973	8.45960728
GSM2235755	12.08279749	10.81139117	5.923160483	9.710393499	5.980268918	8.469218321	11.16733457	9.092897344	8.691030427
GSM2235756	11.68749142	10.22621178	5.748198729	8.572465801	6.256670181	8.156108063	9.853164883	8.178610724	8.049437458
GSM2235757	9.07186417	10.0267376	5.989674334	10.55242473	6.025088242	9.287465686	9.348427279	10.33658483	9.198138984
GSM2235758	11.12572234	9.7947835	6.177571588	8.229712062	5.885536771	9.237591554	10.82581962	6.359015643	7.842336676
